GEOID10,Affordable_Solar,Community_Distributed_Generation,Expected_KWh_Annual_Production,Total_Nameplate_kW_DC,Project_Cost,cost_Kw,Project_Number
36029010102,1,0,857895.12,730.88,92274.8964516,3959.88224554,31
36029010700,0,0,7629.96,6.5,20800.0,3200.0,1
36029010808,0,0,614642.6,523.63,102156.278,4446.55446791,25
36029011800,1,0,1013609.68,863.53,78645.7839583,4425.64391112,48
36029013001,0,0,475747.96,405.3,147052.175833,4235.7557506,12
36029013101,0,0,27608.72,23.52,151424.0,6438.0952381,1
36029013102,0,0,266329.02,226.92,30638.5134615,3475.85572681,26
36029013400,0,0,798923.72,680.68,48973.540303,4155.36854851,66
36029013600,0,0,823394.76,701.51,61940.5723333,4538.36746087,60
36029013800,0,0,46401.89,39.53,24852.1666667,3736.60031388,6
36029014000,0,0,278394.94,237.18,39260.5037037,4665.46436586,27
36029014102,0,0,386716.88,329.46,72951.956,4635.50099705,25
36029014204,0,0,755930.7,644.04,53809.9933333,4493.10220234,63
36029014208,0,0,50287.31,42.84,279552.0,6525.49019608,1
36029014701,0,0,298498.14,254.3,37415.54125,4595.36003152,32
36029014702,0,0,329137.71,280.4,37122.7625,4174.82510819,32
36029014801,1,0,655316.13,558.3,49237.9454348,3924.94383975,46
36029014903,0,0,2405943.55,2049.66,175721.521026,3748.99233534,39
36029015001,0,0,21516.49,18.33,14694.9375,3206.51348974,4
36029015002,0,0,93461.13,79.62,32278.4125,3690.13540275,8
36029015003,0,0,137015.31,116.73,45246.395,4046.75076207,10
36029015101,0,0,66216.31,56.41,38234.3333333,4306.28225863,6
36029015102,0,0,132015.91,112.47,34926.9166667,3882.55473531,12
36029015201,0,0,80912.81,68.93,28427.768,4283.69736035,10
36029015301,0,0,366630.14,312.35,42976.9283871,4223.62987884,31
36029015402,0,0,250040.85,213.03,63197.7864286,4183.43345927,14
36029015501,0,0,352058.07,299.92,65949.0875,4599.48751713,24
36029015600,0,0,14367.8,12.24,79560.0,6500.0,1
36029015700,1,0,361613.16,308.06,59361.8177273,4825.54476264,22
36029015800,1,0,172975.89,147.38,41166.9428571,4389.47303423,14
36029016200,0,0,81300.16,69.27,32559.21,4221.86559902,9
36029016300,0,0,192715.17,164.18,98835.8055556,5412.19278587,9
36029016400,0,0,227155.65,193.52,193924.0,5400.92532258,5
36029016500,0,0,4789.27,4.08,13056.0,3200.0,1
36029016700,0,0,492167.65,419.3,82588.7144444,4124.5668693,18
36029016900,1,0,249378.79,212.46,42781.18,4904.28992178,26
36029017502,0,0,102511.45,87.33,43749.9355556,4747.09254941,9
36029940000,0,0,78113.19,66.55,30790.4042857,3238.07962008,7
36031960100,0,0,50193.4,42.76,22573.75,5718.28171499,8
36031960200,0,0,126414.34,107.69,30065.3333333,5830.20508551,18
36031960300,0,0,154313.02,131.47,35611.1028571,4199.89410516,14
